path,frame_number,video_id,objects_path,id
C:\AIC-2024-DATA\frames\L02_V027\4123.jpg,4123,L02_V027,,47
C:\AIC-2024-DATA\frames\L02_V027\4158.jpg,4158,L02_V027,,48
C:\AIC-2024-DATA\frames\L02_V027\4256.jpg,4256,L02_V027,,49
C:\AIC-2024-DATA\frames\L02_V027\427.jpg,427,L02_V027,,50
C:\AIC-2024-DATA\frames\L02_V027\4333.jpg,4333,L02_V027,,51
C:\AIC-2024-DATA\frames\L02_V027\4340.jpg,4340,L02_V027,,52
C:\AIC-2024-DATA\frames\L02_V027\4431.jpg,4431,L02_V027,,53
C:\AIC-2024-DATA\frames\L02_V027\455.jpg,455,L02_V027,,54
C:\AIC-2024-DATA\frames\L02_V027\469.jpg,469,L02_V027,,55
C:\AIC-2024-DATA\frames\L02_V027\490.jpg,490,L02_V027,,56
C:\AIC-2024-DATA\frames\L02_V027\4963.jpg,4963,L02_V027,,57
C:\AIC-2024-DATA\frames\L02_V027\5131.jpg,5131,L02_V027,,58
C:\AIC-2024-DATA\frames\L02_V027\5152.jpg,5152,L02_V027,,59
C:\AIC-2024-DATA\frames\L02_V027\518.jpg,518,L02_V027,,60
C:\AIC-2024-DATA\frames\L02_V027\5194.jpg,5194,L02_V027,,61
C:\AIC-2024-DATA\frames\L02_V027\5201.jpg,5201,L02_V027,,62
C:\AIC-2024-DATA\frames\L02_V027\5243.jpg,5243,L02_V027,,63
C:\AIC-2024-DATA\frames\L02_V027\5306.jpg,5306,L02_V027,,64
C:\AIC-2024-DATA\frames\L02_V027\5355.jpg,5355,L02_V027,,65
C:\AIC-2024-DATA\frames\L02_V027\5404.jpg,5404,L02_V027,,66
C:\AIC-2024-DATA\frames\L02_V027\5474.jpg,5474,L02_V027,,67
C:\AIC-2024-DATA\frames\L02_V027\5523.jpg,5523,L02_V027,,68
C:\AIC-2024-DATA\frames\L02_V027\5607.jpg,5607,L02_V027,,69
C:\AIC-2024-DATA\frames\L02_V027\5614.jpg,5614,L02_V027,,70
C:\AIC-2024-DATA\frames\L02_V027\5719.jpg,5719,L02_V027,,71
C:\AIC-2024-DATA\frames\L02_V027\5789.jpg,5789,L02_V027,,72
C:\AIC-2024-DATA\frames\L02_V027\581.jpg,581,L02_V027,,73
C:\AIC-2024-DATA\frames\L02_V027\5838.jpg,5838,L02_V027,,74
C:\AIC-2024-DATA\frames\L02_V027\5992.jpg,5992,L02_V027,,75
C:\AIC-2024-DATA\frames\L02_V027\602.jpg,602,L02_V027,,76
C:\AIC-2024-DATA\frames\L02_V027\6076.jpg,6076,L02_V027,,77
C:\AIC-2024-DATA\frames\L02_V027\6097.jpg,6097,L02_V027,,78
C:\AIC-2024-DATA\frames\L02_V027\6125.jpg,6125,L02_V027,,79
C:\AIC-2024-DATA\frames\L02_V027\616.jpg,616,L02_V027,,80
C:\AIC-2024-DATA\frames\L02_V027\6384.jpg,6384,L02_V027,,81
C:\AIC-2024-DATA\frames\L02_V027\6468.jpg,6468,L02_V027,,82
C:\AIC-2024-DATA\frames\L02_V027\6524.jpg,6524,L02_V027,,83
C:\AIC-2024-DATA\frames\L02_V027\6538.jpg,6538,L02_V027,,84
C:\AIC-2024-DATA\frames\L02_V027\6615.jpg,6615,L02_V027,,85
C:\AIC-2024-DATA\frames\L02_V027\6650.jpg,6650,L02_V027,,86
C:\AIC-2024-DATA\frames\L02_V027\6748.jpg,6748,L02_V027,,87
C:\AIC-2024-DATA\frames\L02_V027\6888.jpg,6888,L02_V027,,88
C:\AIC-2024-DATA\frames\L02_V027\6972.jpg,6972,L02_V027,,89
C:\AIC-2024-DATA\frames\L02_V027\7021.jpg,7021,L02_V027,,90
C:\AIC-2024-DATA\frames\L02_V027\707.jpg,707,L02_V027,,91
C:\AIC-2024-DATA\frames\L02_V027\7126.jpg,7126,L02_V027,,92
C:\AIC-2024-DATA\frames\L02_V027\7147.jpg,7147,L02_V027,,93
C:\AIC-2024-DATA\frames\L02_V027\7175.jpg,7175,L02_V027,,94
C:\AIC-2024-DATA\frames\L02_V027\7217.jpg,7217,L02_V027,,95
C:\AIC-2024-DATA\frames\L02_V027\728.jpg,728,L02_V027,,96
C:\AIC-2024-DATA\frames\L02_V027\7315.jpg,7315,L02_V027,,97
C:\AIC-2024-DATA\frames\L02_V027\7371.jpg,7371,L02_V027,,98
C:\AIC-2024-DATA\frames\L02_V027\7420.jpg,7420,L02_V027,,99
C:\AIC-2024-DATA\frames\L02_V027\7427.jpg,7427,L02_V027,,100
C:\AIC-2024-DATA\frames\L02_V027\7497.jpg,7497,L02_V027,,101
C:\AIC-2024-DATA\frames\L02_V027\7581.jpg,7581,L02_V027,,102
C:\AIC-2024-DATA\frames\L02_V027\7644.jpg,7644,L02_V027,,103
C:\AIC-2024-DATA\frames\L02_V027\7651.jpg,7651,L02_V027,,104
C:\AIC-2024-DATA\frames\L02_V027\7805.jpg,7805,L02_V027,,105
C:\AIC-2024-DATA\frames\L02_V027\7812.jpg,7812,L02_V027,,106
C:\AIC-2024-DATA\frames\L02_V027\7875.jpg,7875,L02_V027,,107
C:\AIC-2024-DATA\frames\L02_V027\7924.jpg,7924,L02_V027,,108
C:\AIC-2024-DATA\frames\L02_V027\798.jpg,798,L02_V027,,109
C:\AIC-2024-DATA\frames\L02_V027\8001.jpg,8001,L02_V027,,110
C:\AIC-2024-DATA\frames\L02_V027\8015.jpg,8015,L02_V027,,111
C:\AIC-2024-DATA\frames\L02_V027\819.jpg,819,L02_V027,,112
C:\AIC-2024-DATA\frames\L02_V027\8260.jpg,8260,L02_V027,,113
C:\AIC-2024-DATA\frames\L02_V027\8274.jpg,8274,L02_V027,,114
C:\AIC-2024-DATA\frames\L02_V027\8330.jpg,8330,L02_V027,,115
C:\AIC-2024-DATA\frames\L02_V027\8372.jpg,8372,L02_V027,,116
C:\AIC-2024-DATA\frames\L02_V027\847.jpg,847,L02_V027,,117
C:\AIC-2024-DATA\frames\L02_V027\868.jpg,868,L02_V027,,118
C:\AIC-2024-DATA\frames\L02_V027\910.jpg,910,L02_V027,,119
C:\AIC-2024-DATA\frames\L02_V027\98.jpg,98,L02_V027,,120
